Job_Role,Company,Location,Job Experience,Skills/Description
Sr. Clinical Data Programming Scientist,Accenture,Bangalore/Bengaluru,7-11,"SAS, Consulting, Programming, Life sciences, SQL, Project initiation, Clinical trials, Pharmacovigilance"
Data Scientist,Jobs Territory,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",1-3,"data science, Computer science, Machine learning, Natural language processing, Data mining, Business solutions, MATLAB, Analytics"
Data Scientist,Cervello India Private Limited,Bangalore/Bengaluru,3-8,"Machine Learning algorithms, Python, Random Forest, IT Skills, Data Science, Machine Learning, Tableau, Predictive Modeling"
Data Scientist - A Travel Tech company,HotelHub,"Panaji/Panjim, Bangalore/Bengaluru",4-8,"Data Mining, Machine Learning, Python, Predictive Modeling, R, Artificial Neural Networks, C#.Net, .Net"
Data Scientist,Shell,"Chennai, Bangalore/Bengaluru",4-9,"Marketing Analytics, analytics models, Reinforcement Learning, Data Operations, Clustering, Data Science, propensity analysis, Bayesian Networks"
AI Resident - Data Scientist,Shell,Bangalore/Bengaluru,3-4,"tensorflow, AzureML, ML cloud services, Data Scientist, AWS Sagemaker, keras, statistical modeling, sckit-learn"
Data Scientist,Dev Solutions,Bangalore/Bengaluru,4-6,"Advanced Analytics, Data Science, Predictive modeling, Python, database, SQL, IT Skills, Machine Learning"
Principal Data Scientist,Dev Solutions,Bangalore/Bengaluru,7-13,"Tensorflow, Python, Machine Learning, Scala, Spark, R, scikit, object - oriented"
Principal Data Scientist,Target,Bangalore/Bengaluru,10-20,"Supply chain, Computer science, Operations research, Artificial Intelligence, Business planning, Troubleshooting, Open source, Forecasting"
Principal Data Scientist,Societe Generale,Bangalore/Bengaluru,6-11,"D3 js, R libraries, Cassandra, Java, deep learning, NumPy, Scikit, HBase"
Data Scientist,VEGA Intellisoft Private Limited,Bangalore/Bengaluru,10-15,"IT Skills, Java, Python, Data Science, Machine Learning, Cloud, Oracle, Microstrategy"
Intern - Data Scientist/Programmer,The millionvisions,Bangalore/Bengaluru,0-1,"Data Structures And Algorithm Design, SQL Database, Python, Tensor flow, Open CV, IT Skills, Springboot Java, Angular JS"
Data Scientist,Glance IT Solution,Bangalore/Bengaluru,4-7,"Python, data analysis, Hadoop, Spark, machine learning, Java, NoSQL, linux"
Senior Software Engineer - Python Data Engineer/Scientist,Deutsche Bank,Pune,3-8,"GIT, Trade finance, Machine learning, Data collection, Cash management, Scientist II, Troubleshooting, SDLC"
Senior Software Engineer -Data Engineer/Scientist II,Deutsche Bank,Pune,3-10,"Administration, GIT, Trade finance, Machine learning, Data collection, Cash management, Troubleshooting, SDLC"
Data Scientist / Sr Data Scientist,Connexions,Gurgaon/Gurugram,2-6,"statistical model building, Pyspark, credit risk modeling, Hadoop, LGD, SQL, R, churn modeling"
Sr. Data Scientist- Advanced Analytics/Data Science & Machine Learning,Fidelity IT Jobs,Gurgaon/Gurugram,7-12,"Data Science, R, Scala, Data Management, Advanced Analytics, Web Analytics, Data Modeling, Data Analytics"
Senior Business Analytics - Data Scientist/ NASDAQ Firm,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,1-3,"Logistic Regression, data science, marketing analytics, Predictive Modeling, Decision Tree, Business Analytics, SAS, Data Management"
Data Scientist (freelance),2Coms,"Bangalore/Bengaluru, Bangalore North",3-8,"IT Skills, Java, Python, Machine Learning, Javascript, Data Scientist"
Data Scientist,2Coms,"Bangalore/Bengaluru, Bangalore North",6-11,"PyTorch, Agile, Caffe, written communication, MxNET, Tensorflow, Keras, Python"
Data Scientist,IBM,Bangalore/Bengaluru,8-12,"Consulting, Predictive modeling, SPSS, Forecasting, Analytics, IT Skills, Java, Python"
Data Scientist,Knowledge Foundry,"Pune, Bangalore/Bengaluru",1-3,"Data Science, Machine Learning, Python"
Data Scientist - Innovation Center Network,SAP India Pvt.Ltd,Bangalore/Bengaluru,3-7,"HANA, IT Skills, Java, J2EE, Python, Cloud, CSS, Javascript"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,4-8,"IVR, Telecommunication, Analytics, Monitoring, Capacity planning, IT Skills, Cloud, Disaster recovery"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Enterprise applications, Artificial Intelligence, Investigation, Deployment, Open source, Amazon AI"
